GRELHA_ECC840_2025_1_MODELO_02
NN
235
NB
430
NOS
186	195	196	10985.0	5492.5	2380.0	991.7
187	196	197	10985.0	5492.5	2380.0	991.7
188	197	198	10985.0	5492.5	2380.0	991.7
189	198	199	10985.0	5492.5	2380.0	991.7
190	199	200	10985.0	5492.5	2380.0	991.7
191	200	201	10985.0	5492.5	2380.0	991.7
192	201	202	10985.0	5492.5	2380.0	991.7
193	202	203	10985.0	5492.5	2380.0	991.7
194	203	204	10985.0	5492.5	2380.0	991.7
195	204	205	10985.0	5492.5	2380.0	991.7
196	205	206	10985.0	5492.5	2380.0	991.7
197	206	207	10985.0	5492.5	2380.0	991.7
198	207	208	10985.0	5492.5	2380.0	991.7
199	208	209	10985.0	5492.5	2380.0	991.7
200	209	210	10985.0	5492.5	2380.0	991.7
201	211	212	10985.0	5492.5	2380.0	991.7
202	212	213	10985.0	5492.5	2380.0	991.7
203	213	214	10985.0	5492.5	2380.0	991.7
204	214	215	10985.0	5492.5	2380.0	991.7
205	215	216	10985.0	5492.5	2380.0	991.7
206	216	217	10985.0	5492.5	2380.0	991.7
207	217	218	10985.0	5492.5	2380.0	991.7
208	218	219	10985.0	5492.5	2380.0	991.7
209	219	220	10985.0	5492.5	2380.0	991.7
210	220	221	10985.0	5492.5	2380.0	991.7
211	221	222	10985.0	5492.5	2380.0	991.7
212	222	223	10985.0	5492.5	2380.0	991.7
213	223	224	10985.0	5492.5	2380.0	991.7
214	224	225	10985.0	5492.5	2380.0	991.7
215	225	226	10985.0	5492.5	2380.0	991.7
216	226	227	10985.0	5492.5	2380.0	991.7
217	227	228	10985.0	5492.5	2380.0	991.7
218	228	229	10985.0	5492.5	2380.0	991.7
219	229	230	10985.0	5492.5	2380.0	991.7
220	230	231	10985.0	5492.5	2380.0	991.7
221	1	22	10985.0	5492.5	2380.0	991.7
222	22	43	10985.0	5492.5	2380.0	991.7
223	43	64	10985.0	5492.5	2380.0	991.7
224	64	85	10985.0	5492.5	2380.0	991.7
225	85	106	10985.0	5492.5	2380.0	991.7
226	106	127	10985.0	5492.5	2380.0	991.7
227	127	148	10985.0	5492.5	2380.0	991.7
228	148	169	10985.0	5492.5	2380.0	991.7
229	169	190	10985.0	5492.5	2380.0	991.7
230	190	211	10985.0	5492.5	2380.0	991.7
231	2	23	10985.0	5492.5	2380.0	991.7
232	23	44	10985.0	5492.5	2380.0	991.7
233	44	65	10985.0	5492.5	2380.0	991.7
234	65	86	10985.0	5492.5	2380.0	991.7
235	86	107	10985.0	5492.5	2380.0	991.7
236	107	128	10985.0	5492.5	2380.0	991.7
237	128	149	10985.0	5492.5	2380.0	991.7
238	149	170	10985.0	5492.5	2380.0	991.7
239	170	191	10985.0	5492.5	2380.0	991.7
240	191	212	10985.0	5492.5	2380.0	991.7
241	3	24	10985.0	5492.5	2380.0	991.7
242	24	45	10985.0	5492.5	2380.0	991.7
243	45	66	10985.0	5492.5	2380.0	991.7
244	66	87	10985.0	5492.5	2380.0	991.7
245	87	108	10985.0	5492.5	2380.0	991.7
246	108	129	10985.0	5492.5	2380.0	991.7
247	129	150	10985.0	5492.5	2380.0	991.7
248	150	171	10985.0	5492.5	2380.0	991.7
249	171	192	10985.0	5492.5	2380.0	991.7
250	192	213	10985.0	5492.5	2380.0	991.7
251	4	25	10985.0	5492.5	2380.0	991.7
252	25	46	10985.0	5492.5	2380.0	991.7
253	46	67	10985.0	5492.5	2380.0	991.7
254	67	88	10985.0	5492.5	2380.0	991.7
